Permission,CSAgents
- Access : Export Csv Top 100 Turnover Report,
- Access : Get Admin Activity,
- Access : Export Csv Admin Activity,
- Access : Get Monthly Affiliate,
- Access : Export Csv Monthly Affiliate,
- Access : Export Csv Daily Affiliate,
- Access : Find User Withdraw Report Search,TRUE
- Access : Export Csv User Withdraw Report,
- Access : Export Data Daily Affiliate,
- Access : Find Report New Member Promotion,TRUE
- Access : Search User Activity Report,TRUE
- Access : Export Csv User Activity Report,
- Access : Summary Transaction Game,TRUE
- Access : Summary Transaction Game Detail,TRUE
- Access : Export Csv Summary Transaction Game,
- Access : Export Csv Summary Transaction Game Detail,
- Access : Find User Deposit Channel,TRUE
- Access : Find Deposit Range Report Search,TRUE
- Access : Export Csv Deposit Range Report,
- Access : Find Summary Deposit And Withdraw,TRUE
- Access : Export Csv Summary Deposit Withdraw Report,
- Access : Find Deposit Check Report Search,TRUE
- Access : Find Summary Deposit Detail,TRUE
- Access : Find Summary Withdraw Detail,TRUE
- Access : Find Web Daily Affiliate,TRUE
- Access : Find Cashback Daily Report,TRUE
- Access : Export Csv Web Daily Affiliate Report,
- Access : Export Csv Cashback Daily Report,
- Access : Find Affiliate Monthly Report,TRUE
- Access : Find Rebate Daily Report,TRUE
- Access : Export Csv Web Monthly Affiliate Report,
- Access : Export Csv Rebate Daily Report,
- Access : Find Affiliate Daily Report,TRUE
- Access : Find Web Daily Cashback,TRUE
- Access : Export Csv Affiliate Daily Report,
- Access : Export Csv Web Daily Cashback Report,
- Access : Find Cashback Monthly Report,TRUE
- Access : Find Web Monthly Cashback,TRUE
- Access : Export Csv Cashback Monthly Report,
- Access : Export Csv Cashback Monthly Report,
- Access : Find Affiliate Monthly Report,TRUE
- Access : Find Web Rebate Daily Report,TRUE
- Access : Find Rebate Monthly Report,TRUE
- Access : Export Csv Affiliate Monthly Report,
- Access : Export Csv Web Rebate Daily Report,
- Access : Export Csv Rebate Monthly Report,
- Access : Find Rebate Monthly Report,TRUE
- Access : Export Csv Rebate Monthly Report,
- Access : Find Blacklist Info Member,TRUE
- Access : Export Csv Blacklist Info Member,
- Access : Delete Blacklist Info Member,
- Access : Find No Bet Member Report,TRUE
- Access : Export Csv No Bet Member Report,
- Access : Export Data Blacklist Info Member,
- Access : Find Daily Point Report,TRUE
- Access : Export Csv Daily Point Report,
- Access : Export Csv Daily Redeem Card Report,
- Access : Export Csv Web Daily Point Report,
- Access : Find Web Daily Point Report,TRUE
- Access : Daily Redeem Card Report,TRUE
- Access : Export Csv Daily Redeem Exchange Money Report,FALSE
- Access : Daily Redeem Exchange Money Report,TRUE
- Access : Daily Redeem Lucky Box Report,TRUE
- Access : Export Csv Daily Redeem Lucky Box Report,
- Access : Daily Redeem Reward Report,TRUE
- Access : Export Csv Daily Redeem Reward Report,
- Access : Find New Member Register Channel Report,TRUE
- Access : Export Csv Member Lv Report,
- Access : Find Member Lv Report,TRUE
- Access : Get Member Lv Report,TRUE
- Access : Find Member Summary Report,TRUE
- Access : Find Member Summary Turnover Turnwinlose,TRUE
- Access : Export Member Summary Report,
- Access : Export Csv Report New Member Promotion,
- Access : Remove Ip Member Blacklist,
- Access : Find Ip Member Blacklist,TRUE
- Access : Find Report New Member Promotion Detail,TRUE
- Access : Find Web Member Summary Report,TRUE
- Access : Find Affiliate Performance,TRUE
- Access : Get Affiliate Performance,TRUE
